City Name,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
Punta Arenas,35.6,80,0,3.36,-53.16
Bluff,89.18,30,76,9.4,-23.58
Rikitea,75.05,95,48,7.94,-23.12
Castro,44.63,100,92,13.76,-42.48
East London,64.4,68,20,17.22,-33.02
Bahia de Caraquez,71.6,88,75,6.93,-0.6
Vaini,86.12,63,24,2.46,15.34
Cape Town,60.8,63,20,13.87,-33.93
Tuktoyaktuk,21.68,100,76,19.01,69.44
Bredasdorp,60.8,67,76,2.24,-34.53
Mataura,55.43,61,64,19.69,-46.19
Atuona,80.18,100,8,17.78,-9.8
Avarua,68,88,75,5.82,-21.21
Hermanus,56.15,78,48,3.58,-34.42
Maniitsoq,28.79,100,80,16.22,65.42
Sao Filipe,77.84,100,32,7.72,14.9
Chapais,32,100,90,20.8,49.78
Khatanga,29.96,90,80,20.24,71.98
Qaanaaq,13.04,100,64,2.68,77.48
Taoudenni,62.36,44,0,2.46,22.68
Makaha,78.8,88,40,4.7,21.47
Hobart,68,68,75,10.29,-42.88
Pano Aqil,85.76,38,32,8.39,27.86
Santa Helena de Goias,70.28,90,8,2.91,-17.81
Butaritari,84.68,100,44,7.49,3.07
Ponta do Sol,63.98,94,8,2.46,-20.63
Nikolskoye,48.2,76,0,4.47,59.7
Dikson,32.75,100,76,16.67,73.51
Mar del Plata,47.78,56,20,16.44,-46.43
Darhan,51.11,81,92,4.36,49.49
Seguin,48.2,87,90,5.82,29.57
Souillac,55.4,100,90,2.24,45.6
Jamestown,62,63,80,15.21,-33.21
Ushuaia,39.2,100,75,21.92,-54.81
Kaitangata,56.06,57,32,23.26,-46.28
Erenhot,55.61,38,0,4.7,43.65
Ewa Beach,78.8,73,1,9.17,21.32
Fortuna,62.6,77,90,6.93,38.18
Sulangan,82.16,100,20,4.92,11.14
Inhambane,78.8,83,40,3.36,-23.87
Kosh-Agach,46.61,39,8,8.61,49.99
Chokurdakh,25.73,84,68,14.2,70.62
Altay,45.53,54,20,6.49,47.83
Clyde River,26.6,92,90,12.75,70.47
Hilo,73.4,94,90,9.17,19.71
Waipawa,59.03,51,0,11.41,-39.94
Carnarvon,46.88,79,8,4.47,-30.97
Busselton,65.96,95,44,6.6,-33.64
Tura,82.34,76,0,2.35,25.52
Dullewala,74.69,58,0,4.59,31.84
Labuhan,84.86,74,76,3.02,-2.54
Sao Miguel do Araguaia,76.31,89,48,2.57,-13.28
Marolambo,71.81,84,0,3.47,-20.05
Aripuana,78.56,84,12,1.68,-9.17
Coquimbo,53.6,87,90,5.82,-29.95
Vardo,59,58,1,13.87,39.62
Grootfontein,69.8,22,0,4.7,-19.56
Tasiilaq,34.1,100,80,4.47,65.61
Sudislavl,44.81,90,0,10.96,57.88
Le Vauclin,78.8,94,76,10.29,14.55
Kavieng,83.06,100,76,3.36,-2.57
Semporna,84.2,74,75,5.82,4.48
Maldonado,57.2,87,0,3.36,-34.91
Barrow,70.01,41,92,15.99,-38.31
Uromi,75.23,96,92,5.03,6.71
Vysokopillya,55.4,71,0,6.71,47.49
Port Elizabeth,62.6,82,90,8.05,39.31
Sinnamary,80.54,97,0,8.61,5.38
Nyurba,36.98,69,36,5.93,63.29
Grindavik,44.6,93,90,14.99,63.84
Nauta,75.59,93,8,2.46,-4.51
Ilulissat,26.6,73,88,13.87,69.22
Margate,68,68,75,10.29,-43.03
Cockburn Town,81.35,100,80,16.78,21.46
Lorengau,79.64,100,48,2.01,-2.02
Baruun-Urt,53.09,36,0,4.47,46.68
Mutoko,77.03,57,36,3.58,-17.4
Hailey,32,67,1,9.17,43.52
Klaksvik,48.2,76,76,27.51,62.23
Mareeba,82.4,65,40,9.17,-16.99
Georgetown,75.2,100,0,4.7,6.8
Narsaq,24.8,49,20,4.7,60.91
Tautira,78.8,69,20,4.7,-17.73
Maningrida,84.41,73,12,12.64,-12.05
Soyo,74.69,93,80,3.36,-6.13
Namibe,69.11,100,0,4.14,-15.19
Houlton,53.6,100,90,8.05,46.13
Novonikolayevskiy,55.07,84,0,4.47,50.97
Thompson,23,92,90,8.05,55.74
Dwarka,89.18,46,48,4.59,28.58
Okhotsk,34.64,97,0,7.05,59.36
Tocopilla,54.98,100,64,1.12,-22.09
Lompoc,57.2,81,1,3.36,34.64
Puerto Ayora,68.57,100,8,11.18,-0.74
Luderitz,60.8,67,0,8.05,-26.65
Tuatapere,52.37,87,88,21.7,-46.13
New Norfolk,68,68,75,10.29,-42.78
Saldanha,50.93,100,92,3.36,41.42
Albany,46.4,48,40,13.87,42.65
Mayo,37.4,95,90,11.41,63.59
Gbadolite,72.08,96,36,4.14,4.28
Saint-Francois,51.8,87,0,2.68,46.42
Makakilo City,78.8,73,1,9.17,21.35
Ruteng,81.44,83,48,5.14,-8.61
Tigre,68,72,0,3.36,-34.42
Pacifica,62.6,98,1,3.36,37.61
Requena,57.2,76,20,4.7,39.49
Floresta,80.18,50,92,8.72,-8.6
